N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,mcnemar_reject_rate,stratified_reject_rate,mcnemar_se,stratified_se,mcnemar_var_mean,stratified_var_mean,var_ratio_mean,var_ratio_std,power_diff,n_sim,part,part_name,effect_type,ab_squared,delta_acc_true,expected_disc_count
50,25,25,1.0,0.5,0.5,0.0,-0.0,0.05182,0.06068,0.0009913091102173933,0.0010676885088826236,0.009997287999999998,0.00959760192,1.0434585538627525,0.04591538146253601,0.00886,50000,1,Hetero_Disc0.5,ab_sq_0.0,0.0,0.0,
50,25,25,1.0,0.5,0.5,0.05,-0.05,0.05184,0.06136,0.0009914899333830877,0.0010732655812984966,0.010002944,0.009556355199999998,1.0488541957383644,0.050924440822260476,0.00952,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
50,25,25,1.0,0.5,0.5,0.1,-0.1,0.05166,0.06226,0.000989861044793662,0.0010805895835144812,0.010000743999999999,0.00941423616,1.0655043531717454,0.06546580132748055,0.010600000000000005,50000,1,Hetero_Disc0.5,ab_sq_0.04,0.04,0.0,
50,25,25,1.0,0.5,0.5,0.15,-0.15,0.04834,0.0617,0.0009592001292743867,0.0010760400550165407,0.009984936,0.009155881599999999,1.0956133770008696,0.08701639765156036,0.013359999999999997,50000,1,Hetero_Disc0.5,ab_sq_0.09,0.09,0.0,
50,25,25,1.0,0.5,0.5,0.2,-0.2,0.04418,0.06062,0.0009190008443956948,0.0010671945989368574,0.009997184,0.008830623360000001,1.1397799633260215,0.11210811866758517,0.016440000000000003,50000,1,Hetero_Disc0.5,ab_sq_0.16,0.16,0.0,
50,25,25,1.0,0.5,0.5,0.25,-0.25,0.03868,0.05954,0.0008623671793383604,0.0010582531681974782,0.010002576000000001,0.00840507456,1.2014673597214043,0.14201329873873006,0.020860000000000004,50000,1,Hetero_Disc0.5,ab_sq_0.25,0.25,0.0,
100,50,50,1.0,0.5,0.5,0.0,-0.0,0.0509,0.05652,0.0009829464888792268,0.0010327196095746415,0.00499936,0.004898793120000001,1.02096286859497,0.02145381850012329,0.00562,50000,1,Hetero_Disc0.5,ab_sq_0.0,0.0,0.0,
100,50,50,1.0,0.5,0.5,0.05,-0.05,0.04728,0.05306,0.0009491533237575477,0.0010024433789496542,0.005002068,0.0048784804,1.025915132680428,0.026105148169951756,0.00578,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
100,50,50,1.0,0.5,0.5,0.1,-0.1,0.04714,0.05498,0.0009478166531560838,0.0010193841238708792,0.005001606,0.00480262076,1.0424747100375613,0.037962629283622554,0.00784,50000,1,Hetero_Disc0.5,ab_sq_0.04,0.04,0.0,
100,50,50,1.0,0.5,0.5,0.15,-0.15,0.04444,0.05494,0.000921575676762359,0.0010190348021534889,0.005000638,0.0046797946,1.0704884011285176,0.052624011969045016,0.010500000000000002,50000,1,Hetero_Disc0.5,ab_sq_0.09,0.09,0.0,
100,50,50,1.0,0.5,0.5,0.2,-0.2,0.04052,0.05386,0.0008817950963801057,0.0010095454462281527,0.004998600000000001,0.0045068111999999995,1.1123452103135236,0.07087421231231764,0.013339999999999998,50000,1,Hetero_Disc0.5,ab_sq_0.16,0.16,0.0,
100,50,50,1.0,0.5,0.5,0.25,-0.25,0.034,0.05316,0.0008104813384649889,0.0010033345842738602,0.004997336,0.004284123439999999,1.1714951170596404,0.09081347874983406,0.019159999999999996,50000,1,Hetero_Disc0.5,ab_sq_0.25,0.25,0.0,
200,100,100,1.0,0.5,0.5,0.0,-0.0,0.05068,0.0533,0.000980933612432564,0.0010045806090105463,0.0025004234999999996,0.002475520715,1.0101579527418127,0.010286453424407692,0.0026199999999999973,50000,1,Hetero_Disc0.5,ab_sq_0.0,0.0,0.0,
200,100,100,1.0,0.5,0.5,0.05,-0.05,0.04928,0.0529,0.0009680029090865379,0.0010010153844971616,0.0025001489999999997,0.0024627193500000003,1.0153760380844614,0.014642057906190789,0.003620000000000005,50000,1,Hetero_Disc0.5,ab_sq_0.01,0.01,0.0,
